day_of_sem,report_date,num_tests,num_referals,pcr_tests,positive_pcr,isolation,boco_new_cases,ward_new_cases,ward_pos,ward_total_pos,cu_total_pos,ward_total_test,boco_total_pos,ward_avg,boco_cu_reported,boco_avg
1,8/24/2020,255,1,23,3,5,9,3,13.0%,3,3,23,9,NA,NA,NA
2,8/25/2020,435,1,79,4,3,16,4,5.1%,7,7,102,25,NA,NA,NA
3,8/26/2020,378,0,73,1,4,5,0,1.4%,8,7,175,30,NA,NA,NA
4,8/27/2020,801,3,52,2,6,9,4,3.8%,10,11,227,39,NA,NA,NA
5,8/28/2020,761,0,80,3,5,11,6,3.8%,13,17,307,50,NA,NA,NA
6,8/29/2020,NA,NA,NA,NA,NA,5,1,NA,13,18,307,55,NA,NA,NA
7,8/30/2020,NA,NA,NA,NA,NA,10,1,NA,13,19,307,65,2.6,2.71,9.29
8,8/31/2020,1208,1,32,2,4,13,1,6.3%,15,20,339,78,2.4,2.43,9.86
9,9/1/2020,887,13,30,1,7,15,6,3.3%,16,26,369,93,1.8,2.71,9.71
10,9/2/2020,952,9,107,21,10,12,8,19.6%,37,34,476,105,5.8,3.86,10.71
11,9/3/2020,1194,6,68,17,12,20,33,25.0%,54,67,544,125,8.8,8,12.29
12,9/4/2020,1011,15,226,49,15,35,11,21.7%,103,78,770,160,18,8.71,15.71
13,9/5/2020,NA,NA,NA,NA,NA,15,48,NA,103,126,770,175,18,15.43,17.14
14,9/6/2020,NA,NA,NA,NA,NA,62,6,NA,103,132,770,237,18,16.14,24.57
15,9/7/2020,NA,NA,NA,NA,NA,9,14,NA,103,146,770,246,22,18,24
16,9/8/2020,1373,24,171,30,22,7,43,17.5%,133,189,941,253,29.25,23.29,22.86
17,9/9/2020,1001,47,178,41,35,59,41,23.0%,174,230,1119,312,34.25,28,29.57
18,9/10/2020,1086,53,139,45,44,37,28,32.4%,219,258,1258,349,41.25,27.29,32
19,9/11/2020,1246,47,318,89,62,41,49,28.0%,308,307,1576,390,51.25,32.71,32.86
20,9/12/2020,NA,NA,NA,NA,NA,75,83,NA,308,390,1576,465,51.25,37.71,41.43
21,9/13/2020,NA,NA,NA,NA,NA,90,57,NA,308,447,1576,555,51.25,45,45.43
22,9/14/2020,1457,121,240,77,63,67,45,32.1%,385,492,1816,622,56.4,49.43,53.71
23,9/15/2020,1791,182,218,56,122,32,103,25.7%,441,595,2034,654,61.6,58,57.29
24,9/16/2020,1379,103,297,100,151,144,50,33.7%,541,645,2331,798,73.4,59.29,69.43
25,9/17/2020,1151,83,571,130,178,66,117,22.8%,671,762,2902,864,90.4,72,73.57
26,9/18/2020,1048,48,344,94,251,138,82,27.3%,765,844,3246,1002,91.4,76.71,87.43
27,9/19/2020,NA,NA,NA,NA,NA,100,134,NA,765,978,3246,1102,91.4,84,91
28,9/20/2020,NA,NA,NA,NA,NA,151,182,NA,765,1160,3246,1253,91.4,101.86,99.71
29,9/21/2020,1392,68,236,94,262,198,149,39.8%,859,1309,3482,1451,94.8,116.71,118.43
30,9/22/2020,1245,50,277,53,285,151,113,19.1%,912,1422,3759,1602,94.2,118.14,135.43
31,9/23/2020,888,31,217,21,273,166,72,9.7%,933,1494,3976,1768,78.4,121.29,138.57
32,9/24/2020,913,34,207,64,270,69,91,30.9%,997,1585,4183,1837,65.2,117.57,139
33,9/25/2020,820,25,137,22,240,132,32,16.1%,1019,1617,4320,1969,50.8,110.43,138.14
34,9/26/2020,NA,NA,NA,NA,NA,61,61,NA,1019,1678,4320,2030,50.8,100,132.57
35,9/27/2020,NA,NA,NA,NA,NA,71,2,NA,1019,1680,4320,2101,50.8,74.29,121.14
36,9/28/2020,1055,17,165,32,167,15,20,19.4%,1051,1700,4485,2116,38.4,55.86,95
37,9/29/2020,1078,15,103,14,137,58,16,13.6%,1065,1716,4588,2174,30.6,42,81.71
38,9/30/2020,784,13,113,5,131,39,11,4.4%,1070,1727,4701,2213,27.4,33.29,63.57
39,10/1/2020,739,6,81,5,113,,17,6.2%,1075,1744,4782,2213,15.6,22.71,62.67
40,10/2/2020,728,10,67,7,77,,6,10.4%,1082,1750,4849,2213,12.6,19,48.8
41,10/3/2020,NA,NA,NA,NA,NA,,0,NA,1082,1750,4849,2213,12.6,10.29,45.75
42,10/4/2020,NA,NA,NA,NA,NA,,0,NA,1082,1750,4849,2213,12.6,10,37.33
43,10/5/2020,813,6,36,0,40,,0,,1082,1750,4849,2213,7.75,7.14,48.5
44,10/6/2020,916,4,142,8,26,,,,,,,,,,
45,10/07/20,718,2,94,7,23,,,,,,,,,,
46,10/08/20,861,1,79,2,20,,,,,,,,,,
47,10/09/20,868,1,54,1,15,,,,,,,,,,
48,10/10/20,NA,NA,NA,NA,NA,,,,,,,,,,
49,10/11/20,NA,NA,NA,NA,NA,,,,,,,,,,
50,10/12/20,942,1,80,6,11,,,,,,,,,,
51,10/13/20,1059,1,113,4,10,,,,,,,,,,
52,10/14/20,756,1,114,2,9,,,,,,,,,,
53,10/15/20,879,4,61,2,4,,,,,,,,,,
54,10/16/20,793,0,71,1,4,,,,,,,,,,
55,10/17/20,NA,NA,NA,NA,NA,,,,,,,,,,
56,10/18/20,NA,NA,NA,NA,NA,,,,,,,,,,
57,10/19/20,902,4,111,2,1,,,,,,,,,,
58,10/20/20,952,3,91,2,1,,,,,,,,,,
59,10/21/20,708,3,175,3,2,,,,,,,,,,
60,10/22/20,820,4,95,5,2,,,,,,,,,,
61,10/23/20,804,1,75,6,2,75,,,,,,,,,
62,10/24/20,NA,NA,NA,NA,NA,54,,,,,,,,,
63,10/25/20,NA,NA,NA,NA,NA,62,,,,,,,,,
64,10/26/20,495,3,11,8,4,44,,,,,,,,,
65,10/27/20,1035,5,122,4,3,48,,,,,,,,,
66,10/28/20,808,4,227,9,5,62,,,,,,,,,
67,10/29/20,980,2,107,5,6,12,,,,,,,,,
68,10/30/20,771,1,92,10,6,,,,,,,,,,
